redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,nhs_region
NHS Lanarkshire,nhs_lanarkshire,L308H,University Hospital Wishaw,ML2 0DP,Scotland,-3.942015899999999,55.7736351,S08000032,ML2,North Lanarkshire,Scotland
Aberdeen Royal Infirmary,aberdeen_royal_inf,N101H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1372687,57.1546973,S08000020,AB25,Aberdeen,Scotland
NHS Lothian,nhs_lothian,S116H,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,EH4,Edinburgh,Scotland
NHS Lothian,nhs_lothian,S225H,Royal Hospital For Sick Children (Edinburgh),EH9 1LF,Scotland,-3.1888575,55.93845779999999,S08000024,EH9,Edinburgh,Scotland
NHS Lothian,nhs_lothian,S308H,St John's Hospital,EH54 6PP,Scotland,-3.5235687,55.8914559,S08000024,EH54,West Lothian,Scotland
NHS Lothian,nhs_lothian,S313H,Ellen's Glen House,EH16 6FF,Scotland,-3.1501074,55.90922699999999,S08000024,EH16,Edinburgh,Scotland
NHS Lothian,nhs_lothian,S314H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Scotland
Ninewells Hospital,ninewells_hospital,T101H,Ninewells Hospital,DD1 9SY,Scotland,-2.9913622,56.461653,S08000030,DD1,Dundee,Scotland
NHS Forth Valley,nhs_forth_valley,V217H,Forth Valley Royal Hospital,FK5 4WR,Scotland,-3.850585199999999,56.0256532,S08000019,FK5,Falkirk,Scotland
NHS Dumfries and Galloway,nhs_dumfries_and_g,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,Scotland,-3.6589259,55.0588049,S08000017,DG2,Dumfriesshire,Scotland
NI Southern Trust,ni_southern_trust,ZT003,Southern Health & Social Care Trust,BT63 5QQ,Northern Ireland,-6.410234699999999,54.4334842,ZB001,BT63,Craigavon,Northern Ireland
Manchester University NHS Foundation Trust,manchester_univers,R0A02,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.4628725,E38000217,M13,Manchester,North West
Manchester University NHS Foundation Trust,manchester_univers,R0A03,Royal Manchester Children's Hospital,M13 9WL,England,-2.2249666,53.4601835,E38000217,M13,Manchester,North West
Manchester University NHS Foundation Trust,manchester_univers,R0A07,Wythenshawe Hospital,M23 9LT,England,-2.2931695,53.3891236,E38000217,M23,Manchester,North West
Manchester University NHS Foundation Trust,manchester_univers,R0A09,Trafford General Hospital,M41 5SL,England,-2.370566,53.4537139,E38000187,M41,Trafford,North West
Solent NHS Trust,solent_nhs_trust,R1C03,Western Community Hospital,SO16 4XE,England,-1.4454465,50.9243458,E38000167,SO16,Southampton,South East
Isle of Wight NHS Trust,isle_of_wight_nhs,R1F01,St Mary's Hospital,PO30 5TG,England,-1.3013413,50.7107581,E38000087,PO30,Isle of Wight,South East
St Bartholomews,st_bartholomews,R1H12,The Royal London Hospital,E1 1FR,England,-0.0585176,51.5182221,E38000186,E1,Tower Hamlets,London
Northwick Park,northwick_park,R1K01,Northwick Park Hospital,HA1 3UJ,England,-0.3195181,51.57515009999999,E38000020,HA1,Harrow,London
Northwick Park,northwick_park,R1K02,Central Middlesex Hospital,NW10 7NS,England,-0.2686757,51.53096499999999,E38000020,NW10,Brent,London
London North West University Healthcare NHS Trust,london_north_west,R1K03,St Mark's Hospital,HA1 3UJ,England,-0.3202336,51.5759194,E38000020,HA1,Harrow,London
London North West University Healthcare NHS Trust,london_north_west,R1K04,Ealing Hospital,UB1 3HW,England,-0.3456642,51.5075825,E38000048,UB1,Ealing,London
Royal Surrey NHSFT,royal_surrey_nhsft,RA201,Royal Surrey County Hospital,GU2 7XX,England,-0.6083288,51.2405133,E38000214,GU2,Guildford,South East
Yeovil District Hospital,yeovil_district_ho,RA430,Yeovil District Hospital,BA21 4AT,England,-2.6345485,50.9448415,E38000150,BA21,South Somerset,South West
Bristol Royal Infirmary,bristol_royal_infi,RA701,Bristol Royal Infirmary,BS2 8HW,England,-2.5967856,51.458344,E38000222,BS2,Bristol,South West
University Hospitals Bristol NHFT,university_hospitag,RA707,St Michael's Hospital,BS2 8EG,England,-2.6,51.4591667,E38000222,BS2,Bristol,South West
University Hospitals Bristol NHFT,university_hospitag,RA723,Bristol Royal Hospital For Children,BS2 8BJ,England,-2.5971828,51.4578733,E38000222,BS2,Bristol,South West
Torbay and south Devon Hospital,torbay_and_south_d,RA901,Torbay Hospital,TQ2 7AA,England,-3.5539082,50.4823211,E38000230,TQ2,Torbay,South West
Bradford Teaching Hospitals NHSFT,bradford_teaching,RAE01,Bradford Royal Infirmary,BD9 6RJ,England,-1.7966408,53.806631,E38000019,BD9,Bradford,North East and Yorkshire
Mid and South Essex University Hospitals Group,mid_and_south_esse,RAJ01,Southend Hospital,SS0 0RY,England,0.6877327999999999,51.5538593,E38000168,SS0,Southend-on-Sea,East of England
Royal Free Hospital,royal_free_hospita,RAL01,Royal Free Hospital,NW3 2QG,England,-0.1659994,51.55314749999999,E38000027,NW3,Camden,London
Royal Free Hospital,royal_free_hospita,RAL26,Barnet Hospital,EN5 3DJ,England,-0.2144865,51.6506333,E38000005,EN5,Barnet,London
North Middlesex University Hospital NHST,north_middlesex_un,RAPNM,North Middlesex University Hospital,N18 1QX,England,-0.07434059999999999,51.6131219,E38000057,N18,Enfield,London
Hillingdon Hospital,hillingdon_hospita,RAS01,Hillingdon Hospital,UB8 3NN,England,-0.4612385,51.5252078,E38000082,UB8,Hillingdon,London
Kingston Hospital NHS Foundation Trust,kingston_hospital,RAX01,Kingston Hospital,KT2 7QB,England,-0.2820917,51.4150364,E38000090,KT2,Kingston upon Thames,London
Musgrove Park Hospital,musgrove_park_hosp,RBA11,Musgrove Park Hospital,TA1 5DA,England,-3.1203012,51.0118016,E38000150,TA1,Somerset,South West
Dorset County Hospital NHFT,dorset_county_hosp,RBD01,Dorset County Hospital,DT1 2JY,England,-2.4459531,50.7129199,E38000045,DT1,West Dorset,South West
Walsall Healthcare NHST,walsall_healthcare,RBK02,Manor Hospital,WS2 9PS,England,-1.9986992,52.5829306,E38000191,WS2,Walsall,Midlands
Wirral University Teaching Hospital NHFT,wirral_university,RBL14,Arrowe Park Hospital,CH49 5PE,England,-3.0953283,53.369813,E38000208,CH49,Wirral,North West
Whiston Hospital,whiston_hospital,RBN01,Whiston Hospital,L35 5DR,England,-2.7853229,53.4212302,E38000091,L35,Knowsley,North West
Royal Liverpool & Broadgreen University Hospitals NHSFT,royal_liverpool__b,RBQHQ,Liverpool Heart And Chest Hospital,L14 3PE,England,-2.8995803000000002,53.41196799999999,E38000101,L14,Liverpool,North West
Mid Cheshire Hospital Trust,mid_cheshire_hospi,RBT20,Leighton Hospital,CW1 4QJ,England,-2.4765188,53.1184442,E38000151,CW1,Cheshire East,North West
The Christie NHSFT,the_christie_nhsft,RBV01,The Christie Main Site,M20 4BX,England,-2.228165,53.4295649,E38000217,M20,Manchester,North West
Northern Devon Healthcare Trust,northern_devon_hea,RBZ12,North Devon District Hospital,EX31 4JB,England,-4.0506281,51.0924056,E38000230,EX31,Exeter,South West
Luton and Dunstable,luton_and_dunstabl,RC971,Luton And Dunstable Hospital,LU4 0DZ,England,-0.4746371,51.8947933,E38000102,LU4,Luton,East of England
York Teaching Hospital NHS Foundation Trust,york_teaching_hosp,RCB55,The York Hospital,YO31 8HE,England,-1.0835656,53.9699889,E38000188,YO31,York,North East and Yorkshire
York Teaching Hospital NHS Foundation Trust,york_teaching_hosp,RCBCA,Scarborough Hospital,YO12 6QL,England,-0.4373861,54.2815045,E38000145,YO12,North Yorkshire,North East and Yorkshire
Harrogate District Hospital,harrogate_district,RCD01,Harrogate District Hospital,HG2 7SX,England,-1.5175624,53.9937105,E38000073,HG2,Harrogate,North East and Yorkshire
Airedale General Hospital,airedale_general_h,RCF22,Airedale General Hospital,BD20 6TD,England,-1.964165,53.89774389999999,E38000001,BD20,Bradford,North East and Yorkshire
Sheffield Children's NHS Foundation Trust,sheffield_children,RCUEF,Sheffield Children's Hospital,S10 2TH,England,-1.4895067,53.3804284,E38000146,S10,Sheffield,North East and Yorkshire
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,the_queen_elizabet,RCX70,The Queen Elizabeth Hospital,PE30 4ET,England,0.4462463,52.7564633,E38000203,PE30,West Norfolk,East of England
Royal United Hospitals Bath NHSFT,royal_united_hospi,RD130,Royal United Hospitals,BA1 3NG,England,-2.3907418,51.3918072,E38000009,BA1,Bath and North East Somerset,South West
Milton Keynes University Hospital,milton_keynes_univ,RD816,Milton Keynes Hospital,MK6 5LD,England,-0.7351835999999999,52.0280676,E38000107,MK6,Milton Keynes,East of England
Basildon and Thurrock University Hospitals NHS,basildon_and_thurr,RDDH0,Basildon University Hospital,SS16 5NL,England,0.4528707,51.5587488,E38000007,SS16,Basildon,East of England
Ipswich Hospital,ipswich_hospital,RDE03,Ipswich Hospital,IP4 5PD,England,1.1981153,52.0579075,E38000086,IP4,Ipswich,East of England
East Suffolk and North Essex NHFT,east_suffolk_and_n,RDEE4,Colchester General Hospital,CO4 5JL,England,0.8991194999999998,51.9102689,E38000117,CO4,Colchester,East of England
Frimley Health NHSFT,frimley_health_nhs,RDU01,Frimley Park Hospital,GU16 7UJ,England,-0.7405398999999999,51.319438,E38000178,GU16,Surrey Heath,South East
Frimley Health NHSFT,frimley_health_nhs,RDU50,Wexham Park Hospital,SL2 4HL,England,-0.5742301,51.5323571,E38000224,SL2,South Buckinghamshire,South East
Dorset HealthCare University NHS Foundation Trust,dorset_healthcare,RDY22,Alderney Hospital,BH12 4NB,England,-1.9412327,50.7497348,E38000045,BH12,Poole,South West
Dorset HealthCare University NHS Foundation Trust,dorset_healthcare,RDYEF,Weymouth Community Hospital,DT4 7TB,England,-2.4507964,50.6212314,E38000045,DT4,Weymouth and Portland,South West
Dorset HealthCare University NHS Foundation Trust,dorset_healthcare,RDYEJ,Bridport Community Hospital,DT6 5DR,England,-2.7699287,50.74159419999999,E38000045,DT6,West Dorset,South West
Dorset HealthCare University NHS Foundation Trust,dorset_healthcare,RDYER,Blandford Community Hospital,DT11 7DD,England,-2.1665474,50.8615915,E38000045,DT11,North Dorset,South West
Dorset HealthCare University NHS Foundation Trust,dorset_healthcare,RDYEY,Westminster Memorial Hospital,SP7 8BD,England,-2.20001,51.0048559,E38000045,SP7,North Dorset,South West
Dorset HealthCare University NHS Foundation Trust,dorset_healthcare,RDYFE,Victoria Hospital,BH21 1ER,England,-1.995904088,50.8022787,E38000045,BH21,East Dorset,South West
Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,royal_bournemouth,RDZ20,Royal Bournemouth Hospital,BH7 7DW,England,-1.821717,50.7469629,E38000045,BH7,Bournemouth,South West
Royal Cornwall,royal_cornwall,REF12,Royal Cornwall Hospital (Treliske),TR1 3LJ,England,-5.0922396,50.2662301,E38000089,TR1,Cornwall,South West
Aintree University Hospital,aintree_university,REM21,Aintree University Hospital,L9 7AL,England,-2.9317603,53.4656706,E38000101,L9,Liverpool,North West
Royal Liverpool & Broadgreen University Hospitals NHSFT,royal_liverpool__b,REMRQ,Royal Liverpool University Hospital,L7 8XP,England,-2.9641248,53.4093831,E38000101,L7,Liverpool,North West
Clatterbridge Cancer Centre NHSFT,clatterbridge_canc,REN20,The Clatterbridge Cancer Centre (Wirral),CH63 4JY,England,-3.0253293,53.3327713,E38000208,CH63,Wirral,North West
Liverpool Women's Hospital,liverpool_womens_h,REP01,Liverpool Women's Nhs Foundation Trust,L8 7SS,England,-2.959683,53.398919,E38000101,L8,Liverpool,North West
Barking Havering and Redbridge University NHST,barking_havering_a,RF4QH,Queen's Hospital,RM7 0AG,England,0.1790309,51.5689553,E38000077,RM7,Havering,London
Barnsley Hospital NHS Foundation Trust,barnsley_hospital,RFFAA,Barnsley Hospital,S75 2EP,England,-1.4995888,53.5582693,E38000006,S75,Barnsley,North East and Yorkshire
The Rotherham NHSFT,the_rotherham_nhsf,RFRPA,Rotherham Hospital,S60 2UD,England,-1.3425348,53.4142658,E38000141,S60,Rotherham,North East and Yorkshire
