redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg
Ipswich Hospital,ipswich_hospital,RED03,Ipswich Hospital,IP4 5PD,England,1.1981153,52.0579075,E38000086,IP4,Ipswich,18480.782969103242,-1.2965277916322533,18550.345192962483,-1.2963022809780993,-2.518526032456773,11645.582684931964,18999,-1.9897424595411763,0.045107585351723295,0.12119741429253865,0.02508207385122018,0.08314106538465448
University Hospitals of North Midlands NHS Trust,university_hospital,REJ01,University Hospitals of North Midlands NHS Trust,ST4 6QG,England,-2.2129403,53.0038144,E38000175,ST4,Staffordshire,9629.736602052451,0.6938936185610034,9703.340256609641,0.7024248810109526,1.1533260577251967,3165.1097578026897,6256,0.9896680272188557,0.3056609642301711,0.5025660964230171,0.09942457231726283,0.29781104199066877
Aintree University Hospital,aintree_university,REM20,Aintree University Hospital,L9 7AL,England,-2.9317603,53.4656706,E38000101,L9,Liverpool,6823.02398989899,2.2652371023484847,6975.550865645402,2.181793994121917,12.779332124269942,499.8389986082434,3462,2.5084938481910566,0.48335066410814403,0.6279407823504819,0.23910251599969984,0.44360065606809385
University Hospitals of Derby and Burton NHFT,university_hospitai,RGT02,University Hospitals of Derby and Burton NHFT,DE22 3NE,England,-1.5139933,52.9106394,E38000229,DE22,Derby,17082.327772628978,-0.8025117761575533,17006.682207707327,-0.7818971932763845,-3.8186739054206345,8087.363002828692,16770.316455696207,-1.477599693277108,0.0736318539236899,0.18889772953311926,0.04605885433369733,0.11444586075173441
Cornwall Partnership NHSFT,cornwall_partnersh,RJ827,Cornwall Partnership NHSFT,PL31 2QN,England,-4.7385973,50.470256,E38000089,PL31,Cornwall,13376.637423653527,-1.130531639,13478.10280910649,-1.1435047901523698,-0.14258867576626028,9129.05861558636,12654.575376884422,-1.5704465936279068,0.0464380065709218,0.12439286329040032,0.010050965805761156,0.05063651127459418
Lewisham and Greenwich NHS Trust,lewisham_and_green,RJ2319,Lewisham and Greenwich NHS Trust,SE4 2LA,England,-0.0422111,51.4570454,E38000098,SE4,Lewisham,10867.658013544018,3.780525436064334,10900.029811398754,3.7732648732524705,3.9891396975339637,8375.317240904911,9910.204545454546,3.9792077590329153,0.029931064993273308,0.24587423440803285,0.3635097745560564,0.6342963443776811
Imperial College Healthcare NHS Trust,imperial_college_h,RJY02,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,W2,Westminster,15155.274580335732,3.9064391538141487,14757.283630771464,4.0453644086654705,1.042016666358894,8864.121718892668,14386.198275862067,4.407783160308271,0.05534889628829875,0.20373529064861776,0.45728050517605856,0.6294513650096626
George Eliot Hospital,george_eliot_hospi,RL101,George Eliot Hospital,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,CV10,Nuneaton & Bedworth,15429.069805194806,-0.9917790140487013,15531.019987611207,-1.0396012580313618,-9.331840797744176,8623.424606131453,14809,-1.7259292760880283,0.05336793651810793,0.15900911003599158,0.02045219100103596,0.07096322877617933
Wirral University Teaching Hospital NHFT,wirral_university,RLB14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,CH49,Wirral,13144.99066293184,-0.3114394601251167,13277.800761766572,-0.40042517781643494,-3.7555813607439137,885.3400084936827,12510.635593220339,-1.0546250075416668,0.2542661742494129,0.35367421032387586,0.058114408833490214,0.15485501105437124
Salford Royal NHSFT,salford_royal_nhsf,RM304,Salford Royal NHSFT,M6 8HD,England,-2.3238955,53.487482,E38000143,M6,Salford,9494.135572139303,1.406609427437811,9672.857382241924,1.2938165064467562,-10.740461250049556,1899.5700757907855,7273.757009345794,1.3698047860906508,0.2998337130716915,0.49357294609995167,0.17602475922593222,0.344889348659659
